id,tag_name,count,excerpt_post_id,wiki_post_id
79778,progress-bar,7071,10377319,10377318
101716,staggered-gridview,173,23060327,23060326
48,architecture,15886,4083816,4083815
108307,android-jack-and-jill,64,27025512,27025511
59735,android-package-managers,536,14694249,14694248
1000,junit,25350,3861865,3861864
105430,floating-action-button,1707,24459370,24459369
314,size,6709,8745322,8745321
38941,threadpool,4272,6218858,6218856
9784,kml,2557,5056619,5056618
78612,android-testing,1965,20982379,20982378
104090,facebook-sdk-4.0,1143,23675755,23675754
5608,list,120419,5329259,5329258
63156,android-gridview,1619,11590763,11590762
107558,incoming-call,130,26356076,26356075
78605,whatsapp,2374,9855340,9855339
34803,mcc,91,5833069,5833068
14004,panoramio,44,10420589,10420588
8109,download,17192,5987949,5987948
53233,android-layout,57757,5872749,5872748
640,maps,8767,9679981,9679980
84002,fragmenttransaction,446,18942062,18942061
1655,gridview,26395,3625326,3607041
100064,ionic-framework,43278,21218926,21218925
15000,xml-namespaces,2235,5709935,5709934
21875,long-click,94,8081263,8081262
19365,listviewitem,1056,12016239,12016238
100775,android-seekbar,636,23107439,23107438
4220,contextmenu,4287,6989167,6989166
91905,android-studio,80439,16573807,16573806
19691,textselection,420,14975088,14975087
112320,android-design-library,734,30522992,30522991
10941,multiline,1734,9380977,9380976
33953,visual-studio,104433,3625329,3607531
57228,android-2.2-froyo,857,7228274,7228273
1819,google-maps,64317,3625330,3610293
51445,android-context,1911,11431538,11431537
4705,return,10601,10068339,10068338
46829,text-size,293,22654579,22654578
35492,swipe,2755,7261555,7261554
10105,elements,1304,22236021,22236020
16819,executorservice,2140,14243446,14243445
87183,android-debug,401,36046967,36046966
294,ip,8807,7743351,7743350
69181,layout-inflater,1209,12822135,12822134
1647,callstack,1022,10684792,10684791
10261,footer,3265,5489784,5489783
15505,shapes,2081,11670650,11670649
6691,mocking,13598,6428794,6428793
115695,flutter,99639,33517946,33517945
74413,android-dialogfragment,1862,12212091,12212090
360,parameters,19847,6477436,6477435
6922,project,4348,6339709,6339708
87011,android-facebook,618,14650750,14650749
64869,layoutparams,457,12821888,12821887
108118,maven-publish,165,49660032,49660031
2447,virtualbox,5629,4995457,4995456
79573,google-drive-api,13072,10303873,10303872
77076,android-resources,2427,9140353,9140352
61280,android-twitter,104,14715009,14715008
43208,parcelable,1610,19936898,19936897
52562,android-maps,846,10569090,10569089
115,tags,10726,6575746,6575745
9013,environment-variables,11088,5677698,5677697
15493,fragment,7877,5220994,5220993
78060,google-play,10441,9592707,9592706
64011,android-sdk-2.3,454,8365956,8365955
7436,try-catch,7883,5344133,5344132
126682,android-livedata,2509,45649797,45649796
3600,google-chrome,67798,4701061,4701060
65357,simplecursoradapter,986,10224262,10224261
7735,rating,806,13305990,13305989
114,arrays,371601,4969094,4969093
4414,communication,2359,12261511,12261510
5210,http,62767,4924551,4924550
1004,icons,8768,5717639,5717638
86029,android-drawable,2863,18465159,18465158
62763,android-logcat,1097,8572295,8572294
105722,android-productflavors,540,24704391,24704390
17995,masking,1033,18284167,18284166
90899,gradle-eclipse,181,16009352,16009351
42722,mobile-country-code,60,23060872,23060871
1326,svg,39193,4804745,4804744
61330,android-contacts,2032,8123529,8123528
9581,save,9482,11601802,11601801
105605,rippledrawable,180,24614026,24614025
77120,fragmentpageradapter,598,12820106,12820105
6716,widget,10654,6142858,6142857
74692,google-places-api,4844,9093258,9093257
37200,reverse-geocoding,843,5580939,5580938
67734,android-icons,285,36023180,36023179
70969,android-mediaplayer,4664,10204556,10204555
60948,android-notifications,4720,11649677,11649676
1554,curl,40829,4925838,4925837
9133,popupmenu,627,17151374,17151373
22905,webview,21178,6276750,6276749
69399,googleio,49,6282127,6282126
6022,crop,2947,7532943,7532942
46933,android-preferences,1899,7258000,7257999
68508,android-canvas,3691,5839249,5839248
107597,android-5.0-lollipop,2804,26388113,26388112
146,email,56612,5483666,5483665
128399,gradle-kotlin-dsl,733,46054546,46054545
13423,mvvm,27958,4972948,4972947
11273,listener,5349,9841557,9841556
81506,android-checkbox,709,11203477,11203476
9568,http-post,8249,6997398,6997397
53142,android-animation,5389,9312151,9312150
2709,gradient,3863,11213463,11213462
51035,android-service,6560,7258007,7258006
85346,fftpack,19,13110168,13110167
58,linux,207993,3625112,3607012
87312,android-maps-v2,1141,14136728,14136727
1362,automation,19927,7015321,7015320
6828,dynamic,25723,5678745,5678744
112323,android-proguard,1033,30526361,30526360
93894,genymotion,1554,17630619,17630618
5647,build,20613,6700955,6700954
4366,lazy-loading,5418,5677979,5677978
51711,sharedpreferences,7172,6764188,6764187
115914,ionic2,12131,34337692,34337691
67059,android-notification-bar,357,21371037,21371036
290,twitter,24286,4924829,4924828
30806,android-appcompat,2624,23893661,23893660
1372,gps,10062,5065630,5065629
7428,heap-memory,4303,8486046,8486045
70963,android-button,2322,11568542,11568541
13898,selection,3841,10859166,10859165
355,validation,63090,5114527,5114526
80035,xamarin,46746,10776479,10776478
112702,android-textinputlayout,820,30849439,30849438
53260,notificationmanager,222,55988896,55988895
128647,android-architecture-components,1656,46827168,46827167
186,testing,44164,4922785,4922784
829,events,36062,4946849,4946848
276,variables,49688,5151905,5151904
12147,duplicates,13040,9222817,9222816
75140,maven-central,196,11520673,11520672
5377,restore,1908,14406305,14406304
61064,eclipse-adt,572,8055457,8055456
964,customization,4314,7222178,7222177
8945,intellij-idea,38292,4929443,4929442
21819,ime,475,6390691,6390690
37793,center-align,65,26714019,26714018
83870,android-support-library,3548,12352420,12352419
32002,file-exists,579,23584420,23584419
30769,listactivity,807,8120740,8120739
81,versioning,2921,6352292,6352291
81660,android-handler,833,11481765,11481764
220,passwords,10048,7065765,7065764
64956,android-edittext,11827,7258022,7258021
108580,gradle-plugin,1275,44156326,44156325
245,format,11483,8058534,8058533
53458,android-location,1313,20641958,20641957
432,import,23896,7933864,7933863
102145,android-shape,185,23083432,23083431
30297,optionmenu,408,19611560,19611559
7002,batch-file,50887,3625128,3625127
10042,image-gallery,1302,11387048,11387047
49615,vertical-scrolling,575,13060010,13060009
1281,dependencies,11303,7298219,7298218
4198,keyboard-shortcuts,5052,5309868,5309867
115335,buildship,111,33182380,33182379
29852,toast,1872,5137580,5137579
63597,mapactivity,191,10782892,10782891
41935,slidingdrawer,439,9039532,9039531
10058,custom-attributes,1139,9241517,9241516
116188,startactivityforresult,266,33935790,33935789
1733,state,7316,13673135,13673134
64852,no-data,69,26635184,26635183
2669,bundle,5144,8905649,8905648
71477,viber,190,23153842,23153841
94274,onactivityresult,948,17918386,17918385
63258,android-file,1007,21459378,21459377
79466,firebase,116833,10392242,10392241
44646,android-custom-view,3212,9885874,9885873
42072,subitem,99,39152564,39152563
45702,live-streaming,1434,5927604,5927603
20585,popupwindow,1649,11897014,11897013
51681,android-ui,1257,10980534,10980533
2773,if-statement,53839,5477046,5477045
91932,navigation-drawer,5574,16592311,16592310
8404,onclick,13621,7050423,7050422
95204,retrofit,7795,18405303,18405302
1034,mp4,2786,5037751,5037750
1177,tabs,13614,5956792,5956791
5559,contains,2702,11449785,11449784
4322,refresh,5084,8426426,8426425
47962,android-intent,30291,6075066,6075065
55910,android-browser,519,11517114,11517113
92006,android-volley,6639,16641466,16641465
627,service,22260,8104635,8104634
9952,virtual-machine,7338,6521276,6521275
23953,intentfilter,1511,14529980,14529979
69843,baseadapter,1654,20254909,20254908
1646,scroll,20418,9055933,9055932
29535,imei,264,7652285,7652284
5340,center,3262,9817533,9817532
541,getter,1714,7532733,7532732
365,url,41136,5147326,5147325
27797,alphabetical,682,9410494,9410493
21772,textview,13753,7257022,7257021
5407,qemu,2038,11294911,11294910
3315,code-coverage,4751,3640767,3640766
8403,rotation,11291,11017664,11017663
110097,android-recyclerview,27013,28581824,28581823
4841,jar,18040,5143744,5143743
97133,android-4.4-kitkat,1493,19657921,19657920
2944,dialog,11677,8060865,8060864
82926,android-gridlayout,704,12135618,12135617
74675,samsung-mobile,1531,12090306,12090305
1882,extends,1573,10014146,10014145
15125,hide,4540,13309379,13309378
36914,libraries,3071,13355204,13355203
10402,include,9283,8897478,8897477
30,database,180662,4973766,4973765
114168,android-6.0-marshmallow,2171,32183239,32183238
39308,google-maps-api-3,24734,4986312,4986311
5910,process,17117,5251016,5251015
58503,robotium,1001,7985096,7985095
1413,telephony,800,8083914,8083913
7319,fullscreen,3333,6797514,6797513
12419,httprequest,7112,9828042,9828041
2455,programming-languages,4067,5267403,5267402
81955,threadpoolexecutor,952,24348619,24348618
1299,monitoring,4182,6894540,6894539
643,iframe,31029,5107916,5107915
4985,image,106712,5048269,5048268
34595,windows-7,11019,3676877,3676876
112312,snackbar,380,30526413,30526412
16157,touch,6195,8330958,8330957
2533,development-environment,2371,9675726,9675725
833,height,5968,7050447,7050446
218,directory,17973,5840336,5840335
1023,code-reuse,836,8358608,8358607
104588,android-viewholder,1000,35997905,35997904
76944,android-actionbar,8866,11208146,11208145
17130,scrollview,6433,7257042,7257041
17928,width,5782,7050451,7050450
94429,android-actionbar-compat,663,17933011,17933010
5117,bluetooth,16122,5044435,5044434
41487,google-maps-api-2,1447,8984532,8984531
70512,android-sdk-tools,1173,14712020,14712019
43745,android-emulator,11468,5873108,5873107
52301,viewflipper,648,5890773,5890772
7178,monitor,1388,6894550,6894549
5029,interface,18524,5330390,5330389
78789,back-stack,645,13991639,13991638
16727,payload,720,9306584,9306583
2616,overlay,4469,7263192,7263191
10393,cursor,8103,7934169,7934168
94250,android-sharing,313,24130265,24130264
100431,aar,885,22036185,22036184
1583,listview,51442,5160153,5160152
68646,android-scrollview,1722,12832729,12832728
77538,onclicklistener,4009,9361369,9361368
47738,android-source,2705,6679769,6679768
1065,animation,41552,5643484,5643483
61,memory,33282,5009628,5009627
14450,slidedown,607,15079901,15079900
92804,android-bluetooth,1904,22115805,22115804
48652,imageview,9742,7257053,7257052
60391,android-camera,6311,8830685,8830684
7158,callback,16878,5816541,5816540
120465,itemtouchhelper,183,46071261,46071260
72595,android-viewpager,10734,7716318,7716317
6879,titlebar,753,9057760,9057759
18700,zooming,5865,7489760,7489759
9290,back-button,1573,9929952,9929951
104707,xamarin.forms,30712,24034272,24034271
3326,position,8600,9106144,9106143
277,debugging,48016,4985314,4985313
43224,onresume,693,14762466,14762465
85578,screen-recording,269,13227235,13227234
598,performance,94424,5048293,5048292
267,keyboard,11835,5449445,5449444
75066,findviewbyid,527,11433957,11433956
71117,image-size,514,23843557,23843556
73240,android-spinner,3530,7590885,7590884
109263,android-sdk-manager,426,41694694,41694693
69866,android-cursor,879,8023782,8023781
76923,android-mapview,2302,10569959,10569958
10052,filter,27060,8641255,8641254
33786,checked,782,15263463,15263462
22975,adb,6834,5122536,5122535
1381,multithreading,131089,4933608,4933607
115703,bitrise,152,33521640,33521639
862,layout,25576,6063336,6063335
73524,android-activity,28448,8463593,8463592
938,linker,12847,5128169,5128168
743,sms,7344,4949738,4949737
1080,geometry,11626,7025387,7025386
103180,android-nested-fragment,278,23090155,23090154
122657,bottomnavigationview,1472,43533804,43533803
46564,admob,9284,5473260,5473259
6602,angle,1290,12090349,12090348
1967,load,6943,9405166,9405165
995,notifications,15175,6623727,6623726
9206,return-value,4281,9733615,9733614
84552,android-side-navigation,36,12694767,12694766
53249,android-webview,7148,6032368,6032367
2181,visibility,3032,8353264,8353263
74050,android-4.0-ice-cream-sandwich,1257,7818481,7818480
19550,keylogger,393,10866930,10866929
6365,paint,2707,13032178,13032177
5868,view,20465,7470066,7470065
79886,searchview,2138,16125171,16125170
5310,file,75673,5253619,5253618
127600,android-viewmodel,1284,53804020,53804019
940,resume,533,8606453,8606452
94719,android-gradle-plugin,12114,19505653,19505652
105415,android-cardview,2221,24455158,24455157
60279,android-progressbar,1611,12119542,12119541
19745,setfocus,420,11202294,11202293
9282,padding,3563,12208119,12208118
69857,activity-finish,333,12224247,12224246
469,checkbox,28357,5289719,5289718
79450,bluetooth-lowenergy,8214,15068151,15068150
1508,json,324934,4889848,4889847
4183,focus,6878,6824697,6824696
4682,autocomplete,15956,6769145,6769144
3002,decompiling,1013,5933305,5933304
11549,nullpointerexception,15586,5588986,5588985
62686,opengl-es-2.0,3906,5328634,5328633
86170,android-pageradapter,430,13527290,13527289
5658,border,5392,6984442,6984441
105074,location-services,261,24156922,24156921
31513,expandablelistview,3134,8316410,8316409
14103,httpurlconnection,3196,12361979,12361978
391,terminal,21271,5094651,5094650
65533,illegalstateexception,1070,10500349,10500348
47120,android-arrayadapter,4354,11740159,11740158
40048,avd,2474,5873151,5873150
5062,header,12753,8641279,8641278
101823,android-ide,41,23060479,23060478
